Filename,Tempo (BPM),Clock Density (Onsets/Sec),Beat Density (Beats/Sec),Onsets per Beat,Pitch SD,Pitch Mean,Pitch Median,Pitch Entropy,Intervallic Variability
"Ko-Ko  - Charlie Parker Quintet (live, 1949).wav",344.53125,4.3315159166973265,2.786100690136974,1.5546875,2.7758635379543257,5.87037037037037,6.0,3.2959497488479634,3.7251610022523898
"Confirmation (Live At Carnegie Hall, 1947).wav",344.53125,3.2326813528263556,2.83531848783014,1.1401475237091676,3.6141857185960027,5.762711864406779,7.0,3.3051663564920992,4.778320044687769
Charlie Parker - Jam Session 1952.wav,234.90767045454547,3.429787315688599,1.9482318693633494,1.760461559849854,3.2272177445041406,4.5636363636363635,5.0,3.3090542308097297,4.503269138962162
Charlie Parker - ＂My Little Suede Shoes＂ (C.P. Sextet - 1951).wav,287.109375,4.364119537298884,2.408165837061307,1.8122171945701357,3.209771265829914,5.5,5.0,3.2545431460263634,4.5202248210053035
Charlie Parker-The Bird.wav,224.69429347826087,4.048426359189285,1.8167356874570348,2.2284069097888675,2.8837110593268895,5.0,5.0,3.31149073671281,4.009987531152684
"How High The Moon？ - JATP (w⧸Roy Eldridge, Charlie Parker, Flip Phillips & Lester Young) - 1949.wav",198.76802884615384,4.215578089565212,1.570509484347824,2.6842105263157894,3.3273548496410297,4.954128440366972,5.0,3.4828835923790913,4.492639919142498
Charlie Parker Quartet with Strings at Birdland 1951.wav,344.53125,3.279504977108768,2.7696548106270806,1.184084372003835,2.9671048072995334,5.40625,6.0,3.4280725166542534,4.3465407194399495
Charlie Parker on Congo Blues (take 3).wav,271.9983552631579,4.9437119271080725,2.1915424006767745,2.255813953488372,3.2185982973959333,6.875,8.0,2.25,5.010193690500052
"Groovin' High (Live At Carnegie Hall, 1947).wav",178.20581896551724,3.6176095278604854,1.4866014461931094,2.4334763948497855,3.6931522365732814,5.339622641509434,6.0,3.24582705639331,5.113904392984832
Charlie Parker on Thrivin' From A Riff (take 1).wav,224.69429347826087,4.730801981142798,1.862837040733283,2.539568345323741,3.8636122993903,5.15,5.0,3.221928094887362,5.47014055332495
"Charlie Parker with Miles Davis- December 11, 1948 Royal Roost, New York City.wav",224.69429347826087,3.100386076369606,1.8659731015187444,1.6615384615384616,3.012969738543135,6.018072289156627,7.0,3.1615794565832362,4.23800848845224
"Charlie Parker on Yardbird Suite - March 2, 1947.wav",198.76802884615384,3.7687658369808053,1.6343515280110936,2.3059701492537314,3.642915499065732,5.75,7.0,3.094360937770434,3.7963269483379256
"Charlie Parker on Bird of Paradise 2 - October 28, 1947.wav",234.90767045454547,3.8936388074773847,1.9032803116422998,2.045751633986928,3.1189567416786317,5.285714285714286,5.0,3.100916685694772,5.369124695888521
