Title,Description,Published Date,Video URL
JEEP RHYTHM / JIMMIE LUNCEFORD And His Orchestra [Decca 18618B],"Decca 18618B [71760] JEEP RHYTHM (Horace Henderson) JIMMIE LUNCEFORD And His Orchestra New York, February 8, ...",2017-10-17T18:04:40Z,https://www.youtube.com/watch?v=ShiB0XtltYU
"DUKE ELLINGTON AND HIS FAMOUS ORCHESTRA { DROP ME OFF AT HARLEM } 1933,",COLUMBIA 35837 DUKE ELLINGTON & HIS ORCH DROP ME OFF AT HARLEM MX; B13081-B DUKE ELLINGTON AND HIS ...,2022-11-22T17:00:07Z,https://www.youtube.com/watch?v=4yF7u4UyTpk
Tommy Dorsey And His Orchestra - Hawaiian War Chant.-,"HI, we would like to present you something new musically speaking. Our tracks are not present in the YouTube library. Our music ...",2017-11-07T22:16:15Z,https://www.youtube.com/watch?v=JnFhZQqlci4
If I Had You / The Charlie Shavers Quintet,If I Had You The Charlie Shavers Quintet Vogue R756 (P-97) Charlie Shavers(tp); Buddy DeFranco(cl); John Potaker(p); Sidney ...,2023-02-03T00:58:20Z,https://www.youtube.com/watch?v=qlwSQe7xLTY
Dizzy&#39;s Dilemma / The Charlie Shavers Quintet,Dizzy's Dilemma The Charlie Shavers Quintet Vogue R754 (P-94) Charlie Shavers(tp); Buddy DeFranco(cl); John Potaker(p); ...,2023-02-03T00:58:10Z,https://www.youtube.com/watch?v=tQOt8XYRodA
Serenade To A Pair of Nylons / The Charlie Shavers Quintet,Serenade To A Pair of Nylons The Charlie Shavers Quintet Vogue R755 (P-93) Charlie Shavers(tp); Buddy DeFranco(cl); John ...,2023-02-03T00:58:05Z,https://www.youtube.com/watch?v=vm0njy6YCPU
Night In Tunisia / Dizzy Gillespie and his Orchestra,RCA Victor 40-0130-B (PD6VB1683-1) Dizzy Gillespie(tp) Don Byas(ts) Milt Jackson(vib) Al Haig(p) Bill deArango(el-g) Ray ...,2017-08-11T02:03:54Z,https://www.youtube.com/watch?v=d-xhG8uvY6w
"Fletcher Henderson - Clap hands, here comes Charlie - Broadcast, Hollywood, CA., May 1, 1944","Fletcher Henderson And His Orchestra Leroy White, Clint Waters, Jake Porter (tp) Allen Durham, George Washington (tb) Eddie ...",2012-12-21T01:11:28Z,https://www.youtube.com/watch?v=DP9r9GvCxag
Charlie Barnet And His Orchestra - Class Will Tell (V J E),"HI, we would like to present you something new musically speaking. Our tracks are not present in the YouTube library. Our music ...",2018-09-17T10:57:33Z,https://www.youtube.com/watch?v=7EGeqlkBUEM
♪Settin&#39; The Pace / Georgie Auld and his Orchestra,"Settin' The Pace Georgie Auld and his Orchestra Discovery 117 (D-168-2) Neal Hefti(tp); Billy Byers(tb); Georgie Auld(as,ts); Clint ...",2021-05-19T07:14:01Z,https://www.youtube.com/watch?v=iDLcYXIwgHc
